arch,freshness,latency_ms,jitter_ms,packet_loss,bandwidth_mbps,num_queries,failures,recall_at_10,latency_p50_ms,latency_p95_ms,latency_p99_ms
hnsw,fresh,5.0,5.0,0.001,10.0,5000,0,0.95954,0.4742,0.6933,0.9584
hnsw,partial,5.0,5.0,0.001,10.0,5000,0,0.74408,0.4661,0.6781,0.9134
hnsw,stale,5.0,5.0,0.001,10.0,5000,0,0.73532,0.4711,0.6705,0.8922
ivf,fresh,5.0,5.0,0.001,10.0,5000,0,0.95954,0.4642,0.6497,0.9126
ivf,partial,5.0,5.0,0.001,10.0,5000,0,0.74408,0.5097,0.7096,0.8862
ivf,stale,5.0,5.0,0.001,10.0,5000,0,0.73532,0.4938,0.7,1.0601
hnsw,fresh,5.0,5.0,0.01,1000.0,5000,0,0.95954,0.4587,0.5913,0.7088
hnsw,partial,5.0,5.0,0.01,1000.0,5000,0,0.74408,0.4568,0.6294,0.8178
hnsw,stale,5.0,5.0,0.01,1000.0,5000,0,0.73532,0.4621,0.6554,0.8772
ivf,fresh,5.0,5.0,0.01,1000.0,5000,0,0.95954,0.4575,0.612,0.7642
ivf,partial,5.0,5.0,0.01,1000.0,5000,0,0.74408,0.4585,0.6132,0.7708
ivf,stale,5.0,5.0,0.01,1000.0,5000,0,0.73532,0.4699,0.6433,0.7814
hnsw,fresh,5.0,5.0,0.01,100.0,5000,0,0.95954,0.4827,0.6845,0.9578
hnsw,partial,5.0,5.0,0.01,100.0,5000,0,0.74408,0.469,0.6189,0.7672
hnsw,stale,5.0,5.0,0.01,100.0,5000,0,0.73532,0.4606,0.6357,0.8569
ivf,fresh,5.0,5.0,0.01,100.0,5000,0,0.95954,0.4675,0.6361,0.8242
ivf,partial,5.0,5.0,0.01,100.0,5000,0,0.74408,0.4611,0.6407,0.8152
ivf,stale,5.0,5.0,0.01,100.0,5000,0,0.73532,0.4592,0.6192,0.8807
hnsw,fresh,5.0,5.0,0.01,10.0,5000,0,0.95954,0.4647,0.6039,0.7904
hnsw,partial,5.0,5.0,0.01,10.0,5000,0,0.74408,0.4568,0.5991,0.7365
hnsw,stale,5.0,5.0,0.01,10.0,5000,0,0.73532,0.4574,0.6345,0.8039
ivf,fresh,5.0,5.0,0.01,10.0,5000,0,0.95954,0.457,0.6044,0.7818
ivf,partial,5.0,5.0,0.01,10.0,5000,0,0.74408,0.4594,0.6063,0.7525
ivf,stale,5.0,5.0,0.01,10.0,5000,0,0.73532,0.4613,0.6082,0.7131
hnsw,fresh,10.0,5.0,0.0,1000.0,5000,0,0.95954,0.4523,0.6001,0.7828
hnsw,partial,10.0,5.0,0.0,1000.0,5000,0,0.74408,0.4598,0.6554,0.9468
hnsw,stale,10.0,5.0,0.0,1000.0,5000,0,0.73532,0.4579,0.6032,0.6926
ivf,fresh,10.0,5.0,0.0,1000.0,5000,0,0.95954,0.4587,0.6061,0.8887
ivf,partial,10.0,5.0,0.0,1000.0,5000,0,0.74408,0.4611,0.6089,0.7482
ivf,stale,10.0,5.0,0.0,1000.0,5000,0,0.73532,0.4601,0.6125,0.7398
hnsw,fresh,10.0,5.0,0.0,100.0,5000,0,0.95954,0.4566,0.5913,0.7616
hnsw,partial,10.0,5.0,0.0,100.0,5000,0,0.74408,0.4629,0.5925,0.7203
hnsw,stale,10.0,5.0,0.0,100.0,5000,0,0.73532,0.4656,0.6481,0.9094
ivf,fresh,10.0,5.0,0.0,100.0,5000,0,0.95954,0.4587,0.6173,0.8621
ivf,partial,10.0,5.0,0.0,100.0,5000,0,0.74408,0.4554,0.5984,0.7355
ivf,stale,10.0,5.0,0.0,100.0,5000,0,0.73532,0.4568,0.5853,0.6778
hnsw,fresh,10.0,5.0,0.0,10.0,5000,0,0.95954,0.4543,0.6328,0.8908
hnsw,partial,10.0,5.0,0.0,10.0,5000,0,0.74408,0.4551,0.603,0.751
hnsw,stale,10.0,5.0,0.0,10.0,5000,0,0.73532,0.459,0.6204,0.7649
ivf,fresh,10.0,5.0,0.0,10.0,5000,0,0.95954,0.4599,0.6359,0.859
ivf,partial,10.0,5.0,0.0,10.0,5000,0,0.74408,0.4561,0.6518,0.9611
ivf,stale,10.0,5.0,0.0,10.0,5000,0,0.73532,0.458,0.6266,0.8316
hnsw,fresh,10.0,5.0,0.001,1000.0,5000,0,0.95954,0.4587,0.6557,0.8822
hnsw,partial,10.0,5.0,0.001,1000.0,5000,0,0.74408,0.457,0.6417,0.8719
hnsw,stale,10.0,5.0,0.001,1000.0,5000,0,0.73532,0.4596,0.6454,0.85
ivf,fresh,10.0,5.0,0.001,1000.0,5000,0,0.95954,0.469,0.6926,0.9394
ivf,partial,10.0,5.0,0.001,1000.0,5000,0,0.74408,0.4697,0.6895,0.8986
ivf,stale,10.0,5.0,0.001,1000.0,5000,0,0.73532,0.457,0.6421,0.8376
hnsw,fresh,10.0,5.0,0.001,100.0,5000,0,0.95954,0.4585,0.6639,1.0297
hnsw,partial,10.0,5.0,0.001,100.0,5000,0,0.74408,0.4616,0.6178,0.8079
hnsw,stale,10.0,5.0,0.001,100.0,5000,0,0.73532,0.458,0.6361,0.8237
ivf,fresh,10.0,5.0,0.001,100.0,5000,0,0.95954,0.4613,0.6414,0.8669
ivf,partial,10.0,5.0,0.001,100.0,5000,0,0.74408,0.4593,0.6068,0.7551
ivf,stale,10.0,5.0,0.001,100.0,5000,0,0.73532,0.4573,0.6168,0.7653
hnsw,fresh,10.0,5.0,0.001,10.0,5000,0,0.95954,0.4668,0.6554,0.85
hnsw,partial,10.0,5.0,0.001,10.0,5000,0,0.74408,0.4703,0.7107,1.0355
hnsw,stale,10.0,5.0,0.001,10.0,5000,0,0.73532,0.4625,0.6223,0.7714
ivf,fresh,10.0,5.0,0.001,10.0,5000,0,0.95954,0.4742,0.6669,0.8092
ivf,partial,10.0,5.0,0.001,10.0,5000,0,0.74408,0.463,0.6529,0.9481
ivf,stale,10.0,5.0,0.001,10.0,5000,0,0.73532,0.459,0.608,0.7572
hnsw,fresh,10.0,5.0,0.01,1000.0,5000,0,0.95954,0.4644,0.6986,0.912
hnsw,partial,10.0,5.0,0.01,1000.0,5000,0,0.74408,0.479,0.7112,0.8922
hnsw,stale,10.0,5.0,0.01,1000.0,5000,0,0.73532,0.4621,0.6409,1.015
ivf,fresh,10.0,5.0,0.01,1000.0,5000,0,0.95954,0.4528,0.6263,0.7971
